trial,trial_dir,seed_base,trial_seed_master
363,/project/data/scenario1/bootstrap/trial_0363,4869,3634869
364,/project/data/scenario1/bootstrap/trial_0364,4869,3644869
365,/project/data/scenario1/bootstrap/trial_0365,4869,3654869
366,/project/data/scenario1/bootstrap/trial_0366,4869,3664869
367,/project/data/scenario1/bootstrap/trial_0367,4869,3674869
368,/project/data/scenario1/bootstrap/trial_0368,4869,3684869
369,/project/data/scenario1/bootstrap/trial_0369,4869,3694869
370,/project/data/scenario1/bootstrap/trial_0370,4869,3704869
371,/project/data/scenario1/bootstrap/trial_0371,4869,3714869
372,/project/data/scenario1/bootstrap/trial_0372,4869,3724869
373,/project/data/scenario1/bootstrap/trial_0373,4869,3734869
374,/project/data/scenario1/bootstrap/trial_0374,4869,3744869
375,/project/data/scenario1/bootstrap/trial_0375,4869,3754869
376,/project/data/scenario1/bootstrap/trial_0376,4869,3764869
377,/project/data/scenario1/bootstrap/trial_0377,4869,3774869
378,/project/data/scenario1/bootstrap/trial_0378,4869,3784869
379,/project/data/scenario1/bootstrap/trial_0379,4869,3794869
380,/project/data/scenario1/bootstrap/trial_0380,4869,3804869
381,/project/data/scenario1/bootstrap/trial_0381,4869,3814869
382,/project/data/scenario1/bootstrap/trial_0382,4869,3824869
383,/project/data/scenario1/bootstrap/trial_0383,4869,3834869
384,/project/data/scenario1/bootstrap/trial_0384,4869,3844869
385,/project/data/scenario1/bootstrap/trial_0385,4869,3854869
386,/project/data/scenario1/bootstrap/trial_0386,4869,3864869
387,/project/data/scenario1/bootstrap/trial_0387,4869,3874869
388,/project/data/scenario1/bootstrap/trial_0388,4869,3884869
389,/project/data/scenario1/bootstrap/trial_0389,4869,3894869
390,/project/data/scenario1/bootstrap/trial_0390,4869,3904869
391,/project/data/scenario1/bootstrap/trial_0391,4869,3914869
392,/project/data/scenario1/bootstrap/trial_0392,4869,3924869
393,/project/data/scenario1/bootstrap/trial_0393,4869,3934869
394,/project/data/scenario1/bootstrap/trial_0394,4869,3944869
395,/project/data/scenario1/bootstrap/trial_0395,4869,3954869
396,/project/data/scenario1/bootstrap/trial_0396,4869,3964869
397,/project/data/scenario1/bootstrap/trial_0397,4869,3974869
398,/project/data/scenario1/bootstrap/trial_0398,4869,3984869
399,/project/data/scenario1/bootstrap/trial_0399,4869,3994869
400,/project/data/scenario1/bootstrap/trial_0400,4869,4004869
401,/project/data/scenario1/bootstrap/trial_0401,4869,4014869
402,/project/data/scenario1/bootstrap/trial_0402,4869,4024869
403,/project/data/scenario1/bootstrap/trial_0403,4869,4034869
404,/project/data/scenario1/bootstrap/trial_0404,4869,4044869
405,/project/data/scenario1/bootstrap/trial_0405,4869,4054869
406,/project/data/scenario1/bootstrap/trial_0406,4869,4064869
407,/project/data/scenario1/bootstrap/trial_0407,4869,4074869
408,/project/data/scenario1/bootstrap/trial_0408,4869,4084869
409,/project/data/scenario1/bootstrap/trial_0409,4869,4094869
410,/project/data/scenario1/bootstrap/trial_0410,4869,4104869
411,/project/data/scenario1/bootstrap/trial_0411,4869,4114869
412,/project/data/scenario1/bootstrap/trial_0412,4869,4124869
413,/project/data/scenario1/bootstrap/trial_0413,4869,4134869
414,/project/data/scenario1/bootstrap/trial_0414,4869,4144869
415,/project/data/scenario1/bootstrap/trial_0415,4869,4154869
416,/project/data/scenario1/bootstrap/trial_0416,4869,4164869
417,/project/data/scenario1/bootstrap/trial_0417,4869,4174869
418,/project/data/scenario1/bootstrap/trial_0418,4869,4184869
419,/project/data/scenario1/bootstrap/trial_0419,4869,4194869
420,/project/data/scenario1/bootstrap/trial_0420,4869,4204869
