"iter","eval_type","client","objf","grad_lka","grad_lcl","grad_lvc","grad_CcPropSd","grad_pchol__omega_cl_v__etaLcl__etaLcl","grad_pchol__omega_cl_v__etaLcl__etaLvc","grad_pchol__omega_cl_v__etaLvc__etaLvc"
19,"gr","http://client1:8000",887.0862,10.0052,29.4711,47.3126,-23.3167,9.2656,1.6759,14.9521
19,"gr","http://client2:8000",661.676,-10.9123,-19.6574,31.8587,3.7064,4.686,1.5839,3.1944
19,"gr","http://client3:8000",682.1123,0.7516,44.1921,-75.192,3.7907,10.9308,1.1513,-0.619
20,"fn","http://client1:8000",885.4215,7.6394,15.5094,50.9126,-21.7678,9.3742,1.3825,13.857
20,"fn","http://client2:8000",661.3683,-13.758,-33.4538,41.5395,3.7615,5.2536,1.3049,3.6561
20,"fn","http://client3:8000",681.6649,-0.2959,38.0275,-71.4124,3.9971,12.0784,1.2381,-0.0741
20,"gr","http://client1:8000",885.4215,7.6394,15.5094,50.9126,-21.7678,9.3742,1.3825,13.857
20,"gr","http://client2:8000",661.3683,-13.758,-33.4538,41.5395,3.7615,5.2536,1.3049,3.6561
20,"gr","http://client3:8000",681.6649,-0.2959,38.0275,-71.4124,3.9971,12.0784,1.2381,-0.0741
21,"fn","http://client1:8000",883.1749,5.8271,6.366,43.9589,-16.3451,2.8863,0.4934,9.073
21,"fn","http://client2:8000",660.278,-16.309,-44.6446,48.9012,7.5552,1.2447,0.4773,2.1919
21,"fn","http://client3:8000",680.9839,-0.1209,36.3159,-74.7937,7.8783,8.5174,0.8762,-0.3185
21,"gr","http://client1:8000",883.1749,5.8271,6.366,43.9589,-16.3451,2.8863,0.4934,9.073
21,"gr","http://client2:8000",660.278,-16.309,-44.6446,48.9012,7.5552,1.2447,0.4773,2.1919
21,"gr","http://client3:8000",680.9839,-0.1209,36.3159,-74.7937,7.8783,8.5174,0.8762,-0.3185
22,"fn","http://client1:8000",882.6462,9.4541,9.6879,23.8772,-17.4316,-1.4169,-0.046,4.4127
22,"fn","http://client2:8000",658.5467,-13.1735,-42.9102,38.7179,8.8073,-1.5563,0.0727,-0.1652
22,"fn","http://client3:8000",681.5764,3.1005,43.5774,-93.4424,6.1085,4.815,0.4694,-1.672
22,"gr","http://client1:8000",882.6462,9.4541,9.6879,23.8772,-17.4316,-1.4169,-0.046,4.4127
22,"gr","http://client2:8000",658.5467,-13.1735,-42.9102,38.7179,8.8073,-1.5563,0.0727,-0.1652
22,"gr","http://client3:8000",681.5764,3.1005,43.5774,-93.4424,6.1085,4.815,0.4694,-1.672
23,"fn","http://client1:8000",883.5238,7.383,-2.4109,45.4299,-20.9461,-6.0135,-0.4949,1.8656
23,"fn","http://client2:8000",659.1237,-15.6011,-53.8446,61.3752,5.4041,-4.7851,-0.3355,-2.2568
23,"fn","http://client3:8000",679.8437,1.6794,33.3551,-76.2195,6.3043,1.2002,0.1266,-3.382
23,"gr","http://client1:8000",883.5238,7.383,-2.4109,45.4299,-20.9461,-6.0135,-0.4949,1.8656
23,"gr","http://client2:8000",659.1237,-15.6011,-53.8446,61.3752,5.4041,-4.7851,-0.3355,-2.2568
23,"gr","http://client3:8000",679.8437,1.6794,33.3551,-76.2195,6.3043,1.2002,0.1266,-3.382
24,"fn","http://client1:8000",883.1851,8.7426,2.6628,34.9796,-18.8271,-5.0023,-0.395,2.1657
24,"fn","http://client2:8000",658.6194,-13.9065,-49.2795,51.4271,7.7386,-4.0741,-0.2409,-1.829
24,"fn","http://client3:8000",680.4728,2.7105,37.6814,-84.4639,6.9344,1.8566,0.1883,-2.999
24,"gr","http://client1:8000",883.1851,8.7426,2.6628,34.9796,-18.8271,-5.0023,-0.395,2.1657
24,"gr","http://client2:8000",658.6194,-13.9065,-49.2795,51.4271,7.7386,-4.0741,-0.2409,-1.829
24,"gr","http://client3:8000",680.4728,2.7105,37.6814,-84.4639,6.9344,1.8566,0.1883,-2.999
25,"fn","http://client1:8000",883.1382,9.0627,5.0839,31.9325,-18.1615,-4.9047,-0.3877,2.0166
25,"fn","http://client2:8000",658.4593,-13.5149,-47.3658,48.9975,8.4194,-4.0865,-0.2419,-1.9208
25,"fn","http://client3:8000",680.6226,2.9867,39.8222,-86.8417,7.2117,1.8982,0.189,-3.0578
25,"gr","http://client1:8000",883.1382,9.0627,5.0839,31.9325,-18.1615,-4.9047,-0.3877,2.0166
25,"gr","http://client2:8000",658.4593,-13.5149,-47.3658,48.9975,8.4194,-4.0865,-0.2419,-1.9208
25,"gr","http://client3:8000",680.6226,2.9867,39.8222,-86.8417,7.2117,1.8982,0.189,-3.0578
26,"fn","http://client1:8000",883.1287,9.5903,10.2875,26.7184,-16.6749,-4.7528,-0.3781,1.6358
26,"fn","http://client2:8000",658.1474,-12.7922,-43.6261,45.4049,9.886,-4.1662,-0.258,-2.2229
26,"fn","http://client3:8000",680.8183,3.4799,44.2655,-90.619,8.0908,1.9832,0.189,-3.2212
26,"gr","http://client1:8000",883.1287,9.5903,10.2875,26.7184,-16.6749,-4.7528,-0.3781,1.6358
26,"gr","http://client2:8000",658.1474,-12.7922,-43.6261,45.4049,9.886,-4.1662,-0.258,-2.2229
26,"gr","http://client3:8000",680.8183,3.4799,44.2655,-90.619,8.0908,1.9832,0.189,-3.2212
27,"fn","http://client1:8000",883.1781,9.8971,13.0351,24.3628,-15.3465,-4.5082,-0.3566,1.4316
27,"fn","http://client2:8000",657.9515,-12.2109,-42.2982,44.5481,11.1592,-4.0177,-0.2564,-2.3896
27,"fn","http://client3:8000",680.8302,3.7899,46.2663,-91.6394,9.1779,2.1963,0.2035,-3.1967
27,"gr","http://client1:8000",883.1781,9.8971,13.0351,24.3628,-15.3465,-4.5082,-0.3566,1.4316
27,"gr","http://client2:8000",657.9515,-12.2109,-42.2982,44.5481,11.1592,-4.0177,-0.2564,-2.3896
27,"gr","http://client3:8000",680.8302,3.7899,46.2663,-91.6394,9.1779,2.1963,0.2035,-3.1967
28,"fn","http://client1:8000",883.284,10.3094,14.687,23.3173,-13.5965,-3.061,-0.223,2.2363
28,"fn","http://client2:8000",657.7289,-11.1033,-43.8473,45.9499,13.0487,-2.6435,-0.1512,-1.7619
28,"fn","http://client3:8000",680.6823,4.1656,46.1145,-90.0403,11.0254,3.5649,0.319,-2.1736
28,"gr","http://client1:8000",883.284,10.3094,14.687,23.3173,-13.5965,-3.061,-0.223,2.2363
28,"gr","http://client2:8000",657.7289,-11.1033,-43.8473,45.9499,13.0487,-2.6435,-0.1512,-1.7619
28,"gr","http://client3:8000",680.6823,4.1656,46.1145,-90.0403,11.0254,3.5649,0.319,-2.1736
29,"fn","http://client1:8000",884.5283,10.5863,33.7908,21.2379,-22.4711,-0.465,-0.0208,4.3919
29,"fn","http://client2:8000",657.0496,-11.5956,-34.4664,50.1601,7.4131,-1.5422,-0.0916,-1.4197
29,"fn","http://client3:8000",680.5723,4.3814,63.713,-95.0679,5.0612,6.0711,0.4994,-1.0286
29,"gr","http://client1:8000",884.5283,10.5863,33.7908,21.2379,-22.4711,-0.465,-0.0208,4.3919
29,"gr","http://client2:8000",657.0496,-11.5956,-34.4664,50.1601,7.4131,-1.5422,-0.0916,-1.4197
29,"gr","http://client3:8000",680.5723,4.3814,63.713,-95.0679,5.0612,6.0711,0.4994,-1.0286
30,"fn","http://client1:8000",883.5408,10.363,19.589,22.8904,-15.9156,-2.4506,-0.1767,2.6488
30,"fn","http://client2:8000",657.497,-11.2704,-41.4812,47.2427,11.5712,-2.4123,-0.1436,-1.7632
30,"fn","http://client3:8000",680.591,4.2155,50.6673,-91.2796,9.4868,4.1694,0.3616,-1.9701
30,"gr","http://client1:8000",883.5408,10.363,19.589,22.8904,-15.9156,-2.4506,-0.1767,2.6488
30,"gr","http://client2:8000",657.497,-11.2704,-41.4812,47.2427,11.5712,-2.4123,-0.1436,-1.7632
30,"gr","http://client3:8000",680.591,4.2155,50.6673,-91.2796,9.4868,4.1694,0.3616,-1.9701
31,"fn","http://client1:8000",883.6151,10.1094,15.0647,27.9734,-16.5812,-2.017,-0.1365,3.2034
31,"fn","http://client2:8000",657.6482,-11.2864,-47.2844,53.4064,11.0123,-1.641,-0.0868,-1.2663
31,"fn","http://client3:8000",680.1958,4.0068,45.6749,-85.6101,9.6699,4.727,0.4067,-1.2524
31,"gr","http://client1:8000",883.6151,10.1094,15.0647,27.9734,-16.5812,-2.017,-0.1365,3.2034
31,"gr","http://client2:8000",657.6482,-11.2864,-47.2844,53.4064,11.0123,-1.641,-0.0868,-1.2663
31,"gr","http://client3:8000",680.1958,4.0068,45.6749,-85.6101,9.6699,4.727,0.4067,-1.2524
32,"fn","http://client1:8000",883.6519,9.8475,11.2424,31.8974,-18.0065,-1.9604,-0.132,3.3436
32,"fn","http://client2:8000",657.7942,-11.6184,-51.6311,58.1245,9.768,-1.3154,-0.0656,-1.0883
32,"fn","http://client3:8000",679.9465,3.7886,42.1099,-81.9359,8.9629,4.9021,0.419,-0.9579
32,"gr","http://client1:8000",883.6519,9.8475,11.2424,31.8974,-18.0065,-1.9604,-0.132,3.3436
32,"gr","http://client2:8000",657.7942,-11.6184,-51.6311,58.1245,9.768,-1.3154,-0.0656,-1.0883
32,"gr","http://client3:8000",679.9465,3.7886,42.1099,-81.9359,8.9629,4.9021,0.419,-0.9579
33,"fn","http://client1:8000",883.6244,9.83,9.9528,32.4115,-18.753,-1.9035,-0.1285,3.281
33,"fn","http://client2:8000",657.8104,-11.7168,-53.3024,59.4398,9.1728,-1.142,-0.0542,-1.0558
33,"fn","http://client3:8000",679.9238,3.7728,41.1118,-81.3826,8.3941,4.9812,0.4229,-0.8523
33,"gr","http://client1:8000",883.6244,9.83,9.9528,32.4115,-18.753,-1.9035,-0.1285,3.281
33,"gr","http://client2:8000",657.8104,-11.7168,-53.3024,59.4398,9.1728,-1.142,-0.0542,-1.0558
33,"gr","http://client3:8000",679.9238,3.7728,41.1118,-81.3826,8.3941,4.9812,0.4229,-0.8523
